地名,センター（center.csvを使わない場合は空白化）,燃えるごみ,燃えないごみ
白鳥地区（大袋・箕輪・合ノ沢・日向）,,月 木 *1,20230405 20230510 20230607 20230705 20230802 20230906 20231004 20231101 20231206 20240110 20240207 20240306
白鳥地区（沖田・新城・徳沢・照井館・野切・白鳥舘・鵜ノ木・谷記・前野）,,月 木 *1,20230419 20230517 20230621 20230719 20230816 20230920 20231018 20231115 20231220 20240117 20240221 20240313
前沢地区（北前沢・ビレッジハウス前沢（旧雇用促進北）・あすか通・二十人町・新町・七日町・三日町・五十人町・町切・天神・塔ヶ崎（吉兆南側収集所を除く））,,月 木 *1,20230405 20230510 20230607 20230705 20230802 20230906 20231004 20231101 20231206 20240110 20240207 20240306
前沢地区（大桜・南前沢・本杉・五合田（BETTERアール）・竹沢団地・塔ヶ崎（吉兆南側収集所））,,火 金 *2,20230419 20230517 20230621 20230719 20230816 20230920 20231018 20231115 20231220 20240117 20240221 20240313
前沢地区（二十人町裏・駅東・新町裏・七日町裏・駅通り・ビレッジハウス前沢南（旧雇用促進南）・三日町新裏・平小路・城内・下小路・有隣・山下・清水沢・立石・株樹・河ノ畑）,,火 金,20230426 20230524 20230628 20230726 20230823 20230927 20231025 20231122 20231227 20240124 20240228 20240327
上野原地区全域（お物見団地を除く）,,月 木 *1,20230405 20230510 20230607 20230705 20230802 20230906 20231004 20231101 20231206 20240110 20240207 20240306
上野原地区(お物見団地),,火 金 *2,20230426 20230524 20230628 20230726 20230823 20230927 20231025 20231122 20231227 20240124 20240228 20240327
古城地区,,月 木 *1,20230405 20230510 20230607 20230705 20230802 20230906 20231004 20231101 20231206 20240110 20240207 20240306
稲置地区,,火 金 *2,20230419 20230517 20230621 20230719 20230816 20230920 20231018 20231115 20231220 20240117 20240221 20240313
白山地区,,火 金 *2,20230419 20230517 20230621 20230719 20230816 20230920 20231018 20231115 20231220 20240117 20240221 20240313
生母地区（赤生津）,,火 金 *2,20230419 20230517 20230621 20230719 20230816 20230920 20231018 20231115 20231220 20240117 20240221 20240313
生母地区（母体）,,火 金 *2,20230426 20230524 20230628 20230726 20230823 20230927 20231025 20231122 20231227 20240124 20240228 20240327
